NXMAS-02,HAPPY HOLIDAY KITCHEN TOWEL,"Size: 16"" X 26"" 
 Case Pack: 72
 Price: $1.45
",$104.40,instock,https://www.livingfashions.com/wp-content/uploads/nxmas-02.jpg
924-RX,"54"" HOLIDAY PRINTED RUNNER","4 Designs - Size: 13"" X 54""
 Case Pack: 48
 Price: $ 2.75 each
 Match with item 124-P
",$132.00,instock,https://www.livingfashions.com/wp-content/uploads/924-rx.jpg
352-KT,EASTER PRINTED KITCHEN TOWEL,"4 Designs - 15""x25""
 Case Pack: 72
 Unit Price: $ 0.95 each
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/352-kt.jpg
125-P,CHRISTMAS WOVEN PLACEMAT,"4 Designs
 Size: 13"" X 19""
 Case Pack: 144
 Unit Price: $ 0.95 each
 Match with 725-KT, 925-OP, 625-MM
",$136.80,instock,https://www.livingfashions.com/wp-content/uploads/125-p.jpg
AMR5PK-DS,S/5 ANTIMICROBIAL KITCHEN TOWEL,"5 Pack Set - 3 Designs - Light Green Color, Lime, Mint
 Size: 16""x26""
 Case Pack: 24
 Unit Price: $ 3.50 each
",$84.00,instock,https://www.livingfashions.com/wp-content/uploads/amr5pk-ds.jpg
AMR5PK-LGT TAUPE,S/5 ANTIMICROBIAL KITCHEN TOWEL,"5 Pack Set - 3 Designs - Light Brown Taupe Color
 Size: 16""x26""
 Case Pack: 24
 Unit Price: $ 3.50 each
",$84.00,instock,https://www.livingfashions.com/wp-content/uploads/amr5pk-lgt taupe.jpg
122-P,FARM FRESH TAPESTRY PLACEMAT,"4 Designs - 13""X19""
 Case Pack: 96
 Unit Price: $ 0.95 each
 Match with 822-R
",$91.20,instock,https://www.livingfashions.com/wp-content/uploads/122-p.jpg
AMBMDC-SEA SPRAY,S/6 ANTIMICROBIALBAR MOP DISHCLOTH ,"Set of 6 - Green Color
 Size: 12"" X 12"" - Antimicrobial/Ultra Absorbent
 Case Pack: 48
 Unit Price: $ 1.55 each
",$74.40,instock,https://www.livingfashions.com/wp-content/uploads/ambmdc-sea spray.jpg
AMBMDC-OR/AW,S/6 ANTIMICROBIAL BAR MOP DISHCLOTH ,"Set of 6 - Orange Ruse/Antique White Color
 Size: 12"" X 12"" - Antimicrobial/Ultra Absorbent
 Case Pack: 48
 Unit Price: $ 1.55 each
",$74.40,instock,https://www.livingfashions.com/wp-content/uploads/ambmdc-or/aw.jpg
9030-KT,2PK ASTON STRIPE KITCHEN TOWEL,"2 Pack Set, 4 Colors 
 16""X26"" -90gm
 Case Pack: 48
 Unit Price: $2.50 each
",$120.00,instock,https://www.livingfashions.com/wp-content/uploads/9030-kt.jpg
203-KT,INSPIRE SAYING KITCHEN TOWELS,"5 Designs - Flour Sack
 Size -16"" x 26""
 Case Pack: 60
 Price:  $1.45
",$87.00,instock,https://www.livingfashions.com/wp-content/uploads/203-kt.jpg
6428-BD,6PK BARMOP DISHCLOTH,"6 Pack Set - Asst Colors
 12""X12"" - Weight: 35g
 Case Pack: 48
 Unit Price: $ 2.50 each
 Match with 5427-BK
",$120.00,instock,https://www.livingfashions.com/wp-content/uploads/6428-bd.jpg
2771-DC,S/2 RIBBED DISHCLOTH,"2 Pack Set - 4 Colors
 12""X12"" - Weight: 38g
 Case Pack: 72
 Unit Price: $1.05 each
 Match with Item 1771-KT
",$75.60,instock,https://www.livingfashions.com/wp-content/uploads/2771-dc.jpg
